Town,date,Count,Tests
Windsor,2020-04-22,0,NA
Winthrop,2020-04-22,110,NA
Woburn,2020-04-22,220,NA
Worcester,2020-04-22,1457,NA
Worthington,2020-04-22,0,NA
Wrentham,2020-04-22,46,NA
Yarmouth,2020-04-22,52,NA
Abington,2020-04-29,143,NA
Wrentham,2020-04-29,100,NA
Acton,2020-04-29,74,NA
Acushnet,2020-04-29,35,NA
Adams,2020-04-29,32,NA
Agawam,2020-04-29,317,NA
Alford,2020-04-29,0,NA
Amesbury,2020-04-29,72,NA
Amherst,2020-04-29,83,NA
Andover,2020-04-29,158,NA
Aquinnah,2020-04-29,0,NA
Arlington,2020-04-29,218,NA
Ashburnham,2020-04-29,16,NA
Ashby,2020-04-29,8,NA
Ashfield,2020-04-29,3,NA
Ashland,2020-04-29,128,NA
Athol,2020-04-29,38,NA
Attleboro,2020-04-29,443,NA
Auburn,2020-04-29,55,NA
Avon,2020-04-29,48,NA
Ayer,2020-04-29,40,NA
Barnstable,2020-04-29,187,NA
Barre,2020-04-29,37,NA
Becket,2020-04-29,11,NA
Bedford,2020-04-29,152,NA
Belchertown,2020-04-29,62,NA
Bellingham,2020-04-29,78,NA
Belmont,2020-04-29,162,NA
Berkley,2020-04-29,33,NA
Berlin,2020-04-29,15,NA
Bernardston,2020-04-29,3,NA
Beverly,2020-04-29,363,NA
Billerica,2020-04-29,346,NA
Blackstone,2020-04-29,23,NA
Blandford,2020-04-29,0,NA
Bolton,2020-04-29,9,NA
Bourne,2020-04-29,121,NA
Boxborough,2020-04-29,13,NA
Boxford,2020-04-29,28,NA
Boylston,2020-04-29,10,NA
Braintree,2020-04-29,570,NA
Brewster,2020-04-29,87,NA
Bridgewater,2020-04-29,183,NA
Brimfield,2020-04-29,3,NA
Brockton,2020-04-29,2735,NA
Brookfield,2020-04-29,6,NA
Brookline,2020-04-29,263,NA
Buckland,2020-04-29,7,NA
Burlington,2020-04-29,173,NA
Cambridge,2020-04-29,773,NA
Canton,2020-04-29,219,NA
Carlisle,2020-04-29,7,NA
Carver,2020-04-29,26,NA
Charlemont,2020-04-29,0,NA
Charlton,2020-04-29,38,NA
Chatham,2020-04-29,11,NA
Chelmsford,2020-04-29,229,NA
Chelsea,2020-04-29,1965,NA
Cheshire,2020-04-29,3,NA
Chester,2020-04-29,6,NA
Chesterfield,2020-04-29,3,NA
Chicopee,2020-04-29,248,NA
Chilmark,2020-04-29,3,NA
Clarksburg,2020-04-29,7,NA
Clinton,2020-04-29,87,NA
Cohasset,2020-04-29,18,NA
Colrain,2020-04-29,3,NA
Concord,2020-04-29,117,NA
Conway,2020-04-29,3,NA
Cummington,2020-04-29,3,NA
Dalton,2020-04-29,6,NA
Danvers,2020-04-29,467,NA
Dartmouth,2020-04-29,161,NA
Dedham,2020-04-29,239,NA
Deerfield,2020-04-29,6,NA
Dennis,2020-04-29,51,NA
Dighton,2020-04-29,35,NA
Douglas,2020-04-29,26,NA
Dover,2020-04-29,14,NA
Dracut,2020-04-29,296,NA
Dudley,2020-04-29,40,NA
Dunstable,2020-04-29,7,NA
Duxbury,2020-04-29,47,NA
East Bridgewater,2020-04-29,127,NA
East Brookfield,2020-04-29,6,NA
East Longmeadow,2020-04-29,178,NA
Eastham,2020-04-29,10,NA
Easthampton,2020-04-29,50,NA
Easton,2020-04-29,195,NA
Edgartown,2020-04-29,3,NA
Egremont,2020-04-29,3,NA
Erving,2020-04-29,3,NA
Essex,2020-04-29,15,NA
Everett,2020-04-29,1004,NA
Fairhaven,2020-04-29,92,NA
Fall River,2020-04-29,481,NA
Falmouth,2020-04-29,124,NA
Fitchburg,2020-04-29,238,NA
Florida,2020-04-29,3,NA
Foxborough,2020-04-29,77,NA
Framingham,2020-04-29,816,NA
Franklin,2020-04-29,86,NA
Freetown,2020-04-29,54,NA
Gardner,2020-04-29,104,NA
Georgetown,2020-04-29,29,NA
Gill,2020-04-29,3,NA
Gloucester,2020-04-29,143,NA
Goshen,2020-04-29,3,NA
Gosnold,2020-04-29,0,NA
Grafton,2020-04-29,52,NA
Granby,2020-04-29,18,NA
Granville,2020-04-29,8,NA
Great Barrington,2020-04-29,46,NA
Greenfield,2020-04-29,157,NA
Groton,2020-04-29,22,NA
Groveland,2020-04-29,14,NA
Hadley,2020-04-29,27,NA
Halifax,2020-04-29,25,NA
Hamilton,2020-04-29,21,NA
Hampden,2020-04-29,16,NA
Hancock,2020-04-29,3,NA
Hanover,2020-04-29,44,NA
Hanson,2020-04-29,66,NA
Hardwick,2020-04-29,3,NA
Harvard,2020-04-29,14,NA
Harwich,2020-04-29,36,NA
Hatfield,2020-04-29,8,NA
Haverhill,2020-04-29,600,NA
Hawley,2020-04-29,0,NA
Heath,2020-04-29,0,NA
Hingham,2020-04-29,148,NA
Hinsdale,2020-04-29,3,NA
Holbrook,2020-04-29,135,NA
Holden,2020-04-29,50,NA
Holland,2020-04-29,5,NA
Holliston,2020-04-29,34,NA
Holyoke,2020-04-29,596,NA
Hopedale,2020-04-29,17,NA
Hopkinton,2020-04-29,108,NA
Hubbardston,2020-04-29,3,NA
Hudson,2020-04-29,99,NA
Hull,2020-04-29,32,NA
Huntington,2020-04-29,9,NA
Ipswich,2020-04-29,46,NA
Kingston,2020-04-29,61,NA
Lakeville,2020-04-29,41,NA
Lancaster,2020-04-29,54,NA
Lanesborough,2020-04-29,5,NA
Lawrence,2020-04-29,1639,NA
Lee,2020-04-29,15,NA
Leicester,2020-04-29,91,NA
Lenox,2020-04-29,12,NA
Leominster,2020-04-29,207,NA
Leverett,2020-04-29,3,NA
Lexington,2020-04-29,257,NA
Leyden,2020-04-29,0,NA
Lincoln,2020-04-29,25,NA
Littleton,2020-04-29,76,NA
Longmeadow,2020-04-29,177,NA
Lowell,2020-04-29,1649,NA
Ludlow,2020-04-29,59,NA
Lunenburg,2020-04-29,34,NA
Lynn,2020-04-29,2056,NA
Lynnfield,2020-04-29,73,NA
Malden,2020-04-29,751,NA
Manchester,2020-04-29,13,NA
Mansfield,2020-04-29,110,NA
Marblehead,2020-04-29,118,NA
Marion,2020-04-29,7,NA
Marlborough,2020-04-29,429,NA
Marshfield,2020-04-29,106,NA
Mashpee,2020-04-29,37,NA
Mattapoisett,2020-04-29,15,NA
Maynard,2020-04-29,35,NA
Medfield,2020-04-29,28,NA
Medford,2020-04-29,756,NA
Medway,2020-04-29,61,NA
Melrose,2020-04-29,157,NA
Mendon,2020-04-29,14,NA
Merrimac,2020-04-29,16,NA
Methuen,2020-04-29,576,NA
Middleborough,2020-04-29,123,NA
Middlefield,2020-04-29,0,NA
Middleton,2020-04-29,109,NA
Milford,2020-04-29,316,NA
Millbury,2020-04-29,144,NA
Millis,2020-04-29,32,NA
Millville,2020-04-29,10,NA
Milton,2020-04-29,195,NA
Monroe,2020-04-29,0,NA
Monson,2020-04-29,18,NA
Montague,2020-04-29,19,NA
Monterey,2020-04-29,0,NA
Montgomery,2020-04-29,3,NA
Mount Washington,2020-04-29,0,NA
Nahant,2020-04-29,29,NA
Nantucket,2020-04-29,11,NA
Natick,2020-04-29,280,NA
Needham,2020-04-29,217,NA
New Ashford,2020-04-29,0,NA
New Bedford,2020-04-29,579,NA
New Braintree,2020-04-29,3,NA
New Marlborough,2020-04-29,3,NA
New Salem,2020-04-29,0,NA
Newbury,2020-04-29,6,NA
Newburyport,2020-04-29,46,NA
Newton,2020-04-29,553,NA
Norfolk,2020-04-29,18,NA
North Adams,2020-04-29,42,NA
North Andover,2020-04-29,170,NA
North Attleborough,2020-04-29,158,NA
North Brookfield,2020-04-29,7,NA
North Reading,2020-04-29,141,NA
Northampton,2020-04-29,167,NA
Northborough,2020-04-29,130,NA
Northbridge,2020-04-29,117,NA
Northfield,2020-04-29,0,NA
Norton,2020-04-29,86,NA
Norwell,2020-04-29,77,NA
Norwood,2020-04-29,390,NA
Oak Bluffs,2020-04-29,3,NA
Oakham,2020-04-29,3,NA
Orange,2020-04-29,26,NA
Orleans,2020-04-29,13,NA
Otis,2020-04-29,3,NA
Oxford,2020-04-29,29,NA
Palmer,2020-04-29,23,NA
Paxton,2020-04-29,13,NA
Peabody,2020-04-29,611,NA
Pelham,2020-04-29,3,NA
Pembroke,2020-04-29,52,NA
Pepperell,2020-04-29,28,NA
Peru,2020-04-29,3,NA
Petersham,2020-04-29,5,NA
Phillipston,2020-04-29,8,NA
Pittsfield,2020-04-29,131,NA
Plainfield,2020-04-29,0,NA
Plainville,2020-04-29,39,NA
Plymouth,2020-04-29,222,NA
Plympton,2020-04-29,5,NA
Princeton,2020-04-29,3,NA
Provincetown,2020-04-29,21,NA
Quincy,2020-04-29,767,NA
Randolph,2020-04-29,643,NA
Raynham,2020-04-29,176,NA
Reading,2020-04-29,190,NA
Rehoboth,2020-04-29,32,NA
Revere,2020-04-29,1123,NA
Richmond,2020-04-29,5,NA
Rochester,2020-04-29,14,NA
Rockland,2020-04-29,206,NA
Rockport,2020-04-29,33,NA
Rowe,2020-04-29,0,NA
Rowley,2020-04-29,28,NA
Royalston,2020-04-29,3,NA
Russell,2020-04-29,8,NA
Rutland,2020-04-29,28,NA
Salem,2020-04-29,369,NA
Salisbury,2020-04-29,33,NA
Sandisfield,2020-04-29,3,NA
Sandwich,2020-04-29,66,NA
Saugus,2020-04-29,298,NA
Savoy,2020-04-29,3,NA
Scituate,2020-04-29,62,NA
Seekonk,2020-04-29,43,NA
Sharon,2020-04-29,91,NA
Sheffield,2020-04-29,11,NA
Shelburne,2020-04-29,6,NA
Sherborn,2020-04-29,10,NA
Shirley,2020-04-29,115,NA
Shrewsbury,2020-04-29,183,NA
Shutesbury,2020-04-29,3,NA
Somerset,2020-04-29,61,NA
Somerville,2020-04-29,573,NA
South Hadley,2020-04-29,51,NA
Southampton,2020-04-29,25,NA
Southborough,2020-04-29,27,NA
Southbridge,2020-04-29,53,NA
Southwick,2020-04-29,39,NA
Spencer,2020-04-29,23,NA
Springfield,2020-04-29,1317,NA
Sterling,2020-04-29,26,NA
Stockbridge,2020-04-29,10,NA
Stoneham,2020-04-29,260,NA
Stoughton,2020-04-29,401,NA
Stow,2020-04-29,16,NA
Sturbridge,2020-04-29,24,NA
Sudbury,2020-04-29,76,NA
Sunderland,2020-04-29,9,NA
Sutton,2020-04-29,25,NA
Swampscott,2020-04-29,97,NA
Swansea,2020-04-29,54,NA
Taunton,2020-04-29,558,NA
Templeton,2020-04-29,93,NA
Tewksbury,2020-04-29,357,NA
Tisbury,2020-04-29,3,NA
Tolland,2020-04-29,3,NA
Topsfield,2020-04-29,87,NA
Townsend,2020-04-29,21,NA
Truro,2020-04-29,9,NA
Tyngsborough,2020-04-29,72,NA
Tyringham,2020-04-29,3,NA
Upton,2020-04-29,13,NA
Uxbridge,2020-04-29,51,NA
Wakefield,2020-04-29,210,NA
Wales,2020-04-29,3,NA
Walpole,2020-04-29,178,NA
Waltham,2020-04-29,748,NA
Ware,2020-04-29,15,NA
Wareham,2020-04-29,115,NA
Warren,2020-04-29,6,NA
Warwick,2020-04-29,0,NA
Washington,2020-04-29,3,NA
Watertown,2020-04-29,273,NA
Wayland,2020-04-29,59,NA
Webster,2020-04-29,75,NA
Wellesley,2020-04-29,187,NA
Wellfleet,2020-04-29,3,NA
Wendell,2020-04-29,0,NA
Wenham,2020-04-29,12,NA
West Boylston,2020-04-29,26,NA
West Bridgewater,2020-04-29,65,NA
West Brookfield,2020-04-29,10,NA
West Newbury,2020-04-29,5,NA
West Springfield,2020-04-29,217,NA
West Stockbridge,2020-04-29,3,NA
West Tisbury,2020-04-29,7,NA
Westborough,2020-04-29,209,NA
Westfield,2020-04-29,344,NA
Westford,2020-04-29,115,NA
Westhampton,2020-04-29,3,NA
Westminster,2020-04-29,14,NA
Weston,2020-04-29,80,NA
Westport,2020-04-29,43,NA
Westwood,2020-04-29,82,NA
Weymouth,2020-04-29,504,NA
Whately,2020-04-29,3,NA
Whitman,2020-04-29,124,NA
Wilbraham,2020-04-29,115,NA
Williamsburg,2020-04-29,8,NA
Williamstown,2020-04-29,79,NA
Wilmington,2020-04-29,241,NA
Winchendon,2020-04-29,51,NA
Winchester,2020-04-29,76,NA
Windsor,2020-04-29,0,NA
Worcester,2020-04-29,2223,NA
Winthrop,2020-04-29,167,NA
Abington,2020-05-06,177,NA
Acton,2020-05-06,95,NA
Acushnet,2020-05-06,47,NA
Adams,2020-05-06,32,NA
Agawam,2020-05-06,333,NA
Alford,2020-05-06,0,NA
Amesbury,2020-05-06,156,NA
Amherst,2020-05-06,60,NA
Andover,2020-05-06,210,NA
Aquinnah,2020-05-06,0,NA
Arlington,2020-05-06,248,NA
Ashburnham,2020-05-06,17,NA
Ashby,2020-05-06,8,NA
Ashfield,2020-05-06,3,NA
Ashland,2020-05-06,145,NA
Athol,2020-05-06,41,NA
Attleboro,2020-05-06,480,NA
Auburn,2020-05-06,152,NA
Avon,2020-05-06,56,NA
Ayer,2020-05-06,45,NA
Barnstable,2020-05-06,238,NA
Barre,2020-05-06,42,NA
Becket,2020-05-06,11,NA
Bedford,2020-05-06,190,NA
Belchertown,2020-05-06,69,NA
Bellingham,2020-05-06,96,NA
Belmont,2020-05-06,182,NA
Berkley,2020-05-06,41,NA
Berlin,2020-05-06,14,NA
Bernardston,2020-05-06,6,NA
Beverly,2020-05-06,440,NA
Billerica,2020-05-06,401,NA
Blackstone,2020-05-06,29,NA
Blandford,2020-05-06,0,NA
Bolton,2020-05-06,10,NA
Bourne,2020-05-06,124,NA
Boxborough,2020-05-06,19,NA
Boxford,2020-05-06,30,NA
Boylston,2020-05-06,13,NA
Braintree,2020-05-06,668,NA
Brewster,2020-05-06,91,NA
Bridgewater,2020-05-06,287,NA
Brimfield,2020-05-06,3,NA
Brockton,2020-05-06,3179,NA
Brookfield,2020-05-06,8,NA
Brookline,2020-05-06,308,NA
Buckland,2020-05-06,7,NA
Burlington,2020-05-06,201,NA
Cambridge,2020-05-06,826,NA
Canton,2020-05-06,239,NA
Carlisle,2020-05-06,9,NA
Carver,2020-05-06,38,NA
Charlemont,2020-05-06,0,NA
Charlton,2020-05-06,45,NA
Chatham,2020-05-06,10,NA
Chelmsford,2020-05-06,283,NA
Chelsea,2020-05-06,2244,NA
Cheshire,2020-05-06,3,NA
Chester,2020-05-06,5,NA
Chesterfield,2020-05-06,3,NA
Chicopee,2020-05-06,288,NA
Chilmark,2020-05-06,3,NA
Clarksburg,2020-05-06,7,NA
Clinton,2020-05-06,135,NA
Cohasset,2020-05-06,20,NA
Colrain,2020-05-06,3,NA
Concord,2020-05-06,133,NA
Conway,2020-05-06,3,NA
Cummington,2020-05-06,3,NA
Dalton,2020-05-06,7,NA
Danvers,2020-05-06,539,NA
Dartmouth,2020-05-06,205,NA
Dedham,2020-05-06,290,NA
Deerfield,2020-05-06,6,NA
Dennis,2020-05-06,54,NA
Dighton,2020-05-06,44,NA
Douglas,2020-05-06,29,NA
Dover,2020-05-06,14,NA
Dracut,2020-05-06,349,NA
Dudley,2020-05-06,57,NA
Dunstable,2020-05-06,7,NA
Duxbury,2020-05-06,53,NA
East Bridgewater,2020-05-06,148,NA
East Brookfield,2020-05-06,6,NA
East Longmeadow,2020-05-06,200,NA
Eastham,2020-05-06,10,NA
Easthampton,2020-05-06,55,NA
Easton,2020-05-06,213,NA
Edgartown,2020-05-06,6,NA
Egremont,2020-05-06,5,NA
Erving,2020-05-06,5,NA
Essex,2020-05-06,17,NA
Everett,2020-05-06,1212,NA
Fairhaven,2020-05-06,136,NA
Fall River,2020-05-06,652,NA
Falmouth,2020-05-06,136,NA
Fitchburg,2020-05-06,320,NA
Florida,2020-05-06,3,NA
Foxborough,2020-05-06,89,NA
Framingham,2020-05-06,1159,NA
Franklin,2020-05-06,98,NA
Freetown,2020-05-06,68,NA
Gardner,2020-05-06,116,NA
Georgetown,2020-05-06,35,NA
Gill,2020-05-06,3,NA
Gloucester,2020-05-06,188,NA
